product_id,category_id,name,brand_id,description,initial_price,discount,stock_quantity,avg_rating,review_count,added_date,images
26,2,Samsung Laptop,9,"Who air model. Office nothing level employee production sometimes road.
Father man participant stand mention skin sister. Last manager media sound. Television smile throughout finally.",897.64,0.89,335,0.6,16,2024-03-19 12:46:43,"https://example.com/image_4ffea410-9937-419c-931c-672beefdce1b.jpg,https://example.com/image_40682cb4-cf15-4313-b094-b9d8f792e183.jpg,https://example.com/image_48a03a25-06f3-44a7-97a9-af86316a200e.jpg,https://example.com/image_901cfed9-e9f1-494f-af8d-f86827635dfa.jpg"
27,2,Nike Smartphone,3,Single lose security nothing beyond modern. Community raise data account discussion investment gas. Real whose more program successful defense. So both central consumer thing.,629.71,0.37,675,5.0,45,2024-06-18 19:09:32,"https://example.com/image_62a1e281-987c-4f13-81e4-886ed69fef75.jpg,https://example.com/image_302e06ce-c0de-4004-ac3c-9b67c7330e93.jpg"
28,2,Bosch Blender,9,Behind explain factor fire material reach. Treatment condition peace huge. Hospital he practice billion.,385.51,0.21,730,2.0,19,2024-02-15 06:58:33,https://example.com/image_6459d492-aa66-4589-9675-bc0e50a32613.jpg
29,2,Samsung Camera,5,"Raise no ever.
Left fall east boy look stage mother. Hot bag bill crime here. Fall and option network condition.
Pretty thing career sign deep time. Century truth major environment.",156.42,0.66,730,4.6,1,2024-10-05 23:12:09,"https://example.com/image_a9316d13-77e5-498d-a4c9-8f28872ba546.jpg,https://example.com/image_fc45aa8c-40c5-43ce-ae84-c406160b5377.jpg,https://example.com/image_55f92981-7b81-4e58-94ed-7339bad0fd11.jpg,https://example.com/image_5a6a5b48-d8cf-4fd9-829b-b2856069210a.jpg,https://example.com/image_71cace19-1817-454e-9310-c1b5b8ea3881.jpg"
30,3,Nike Headphones,7,Arm never none positive fund generation international measure. Need century effort operation travel already reveal. Glass save no would listen ever. Foot author machine color on why.,432.72,0.72,246,1.2,40,2024-09-09 08:50:26,"https://example.com/image_34de6eee-99ad-4ebe-8ceb-d8b499ed40a7.jpg,https://example.com/image_f8312962-81ac-4512-b021-a4015fde817e.jpg,https://example.com/image_b4a457eb-4ee4-4ee7-9abd-e4a10ffe3ff6.jpg,https://example.com/image_73155942-275b-4377-9128-4a503f74b910.jpg"
31,3,Nike Headphones,1,"Business data benefit Mr. Suddenly themselves important employee heart vote game.
Change market option black recently political else to. Space as government indeed put so.",164.13,0.37,75,0.9,13,2024-10-06 09:00:52,"https://example.com/image_ff8840a8-6725-454d-b942-b8bd1341fedf.jpg,https://example.com/image_0ad3f04b-529c-470a-8c83-721fc5cc4df0.jpg,https://example.com/image_872d6c8c-1101-4e34-9424-9fd2c17f5cc2.jpg,https://example.com/image_5a8835fe-c015-459f-b31a-dece013b3652.jpg,https://example.com/image_877797a8-c661-4730-9a27-3439e822ad19.jpg"
32,3,Puma Vacuum Cleaner,4,Plan join onto mean. See system wear ask admit future Mrs sign. Whether may believe scientist yeah mention decade. Today paper sport seven owner throughout lose sport.,154.54,0.33,717,0.8,23,2024-05-17 06:52:24,"https://example.com/image_ad3e14b1-656c-4d96-8a4b-5dc731cf801d.jpg,https://example.com/image_3da9d6bd-7a3a-47ce-a350-18bc4a799202.jpg,https://example.com/image_4b627d47-2060-4255-b45a-b599f61ca04f.jpg,https://example.com/image_a24cdce3-7224-457f-9751-2ab3651c0f40.jpg,https://example.com/image_e8a9924c-f492-4e19-91e6-1ee4775269f3.jpg"
33,3,Lego Novel,2,Recently one every leave increase particular. Discussion weight model president. Safe character term conference father lose rise.,902.24,0.98,734,1.4,26,2024-10-12 11:32:05,"https://example.com/image_8e16e7a9-b2b6-4a56-92e6-8004667b09e7.jpg,https://example.com/image_4cca56c7-d3c6-436c-8169-47dcfaead06c.jpg,https://example.com/image_eda2c546-abcb-417d-b5a1-7b5aff63e5ce.jpg,https://example.com/image_3b34c6cc-7888-433e-9a56-62432420406e.jpg,https://example.com/image_1f698969-8ec3-4316-ac5e-6785ecf80fd5.jpg"
34,3,Canon Car Battery,5,"Daughter keep create prepare already. History four each keep toward.
His light decide among group fact receive fight. Cell dream local upon. Choice final effect support.",858.77,0.93,683,5.0,22,2024-01-28 18:39:00,"https://example.com/image_2064a892-f6aa-4f59-b3f7-2a7a940d8ba3.jpg,https://example.com/image_76a22066-1d45-4210-abc8-011e7cc77847.jpg,https://example.com/image_b4022d40-1b84-4264-80fd-d3571e38f62a.jpg,https://example.com/image_e3c0bf3f-f12f-4b78-92bc-7620dcdaa6de.jpg,https://example.com/image_8b4e81bf-9bf7-4f20-ad5c-a2dca873f1af.jpg"
35,3,Bosch Novel,10,"Second without air change job second direction.
Popular crime loss level budget behavior. Cold after court cost nearly financial.",342.15,0.88,193,2.7,26,2024-02-02 19:06:34,"https://example.com/image_76c7b69a-e776-4a79-bad6-02eeb70f1d19.jpg,https://example.com/image_728aa666-71a8-4f9b-ab3b-5efa521867b4.jpg,https://example.com/image_005cb92f-6a0e-4aba-a49c-5508fa546cf9.jpg,https://example.com/image_58407501-06db-4f2c-95bf-1c9002da8092.jpg"
36,3,Philips Car Battery,6,General system player executive. Unit outside subject full skin discover author under.,771.71,0.25,222,2.2,17,2024-01-14 22:41:26,"https://example.com/image_1523388b-862c-4fef-ad31-8f64a91e26b6.jpg,https://example.com/image_e2860272-6903-466e-824c-f47c1aa6c2da.jpg,https://example.com/image_a0384669-c13c-4659-911f-d43ad78e17a1.jpg,https://example.com/image_80f2bf04-ed16-4ebe-b3a0-4c08b5f16b63.jpg,https://example.com/image_23842766-4ef7-4970-bb8f-a5307c02e3e4.jpg"
37,3,Nike Laptop,2,"Piece expect chance one whole. Low money wind brother true buy. Compare forget important prevent arm sing.
Community probably hold. Nearly final miss condition appear until mean.",337.69,0.73,966,4.4,35,2024-06-18 01:05:42,"https://example.com/image_5dc9e8ba-581f-43b9-a4de-8b5d79fdd5ba.jpg,https://example.com/image_e5c3f2d1-ed9e-4799-8f34-23874243e1c2.jpg,https://example.com/image_19e3aa0f-ded1-475e-b527-fbcd758eba8a.jpg,https://example.com/image_436d5ba5-3564-4034-aef0-c9cc4093a187.jpg,https://example.com/image_7e56480b-65fb-4a4d-8b0e-158151f166fb.jpg"
38,3,Lego Soccer Ball,1,"Fund foot call develop. Book can small project idea surface since human.
Require have expect itself where war because. Quickly wait article individual arm.",614.75,0.37,958,3.1,17,2024-05-25 23:56:23,"https://example.com/image_e612e0c5-6a94-407f-be4c-e1be984f01d2.jpg,https://example.com/image_558babaf-c762-4bd1-b5cb-6c984be830b2.jpg,https://example.com/image_8b6319e5-2fc7-4ad2-b0ce-d34c1ff17075.jpg"
39,3,Sony Air Fryer,1,"Office special series. Tough interesting never nature necessary.
Field look character possible decade energy young herself. Catch second prove.",158.85,0.45,403,1.0,7,2024-02-07 16:15:59,"https://example.com/image_79f3070a-37ea-4be7-9e32-6f96273959c6.jpg,https://example.com/image_ce2c913f-3ce6-431a-8a60-a0b5288d917d.jpg,https://example.com/image_3c9d5f3b-b2e9-4a13-9b7c-1ffa96bc5a0d.jpg,https://example.com/image_94b57517-8b44-4966-81d8-96d98c106239.jpg"
40,3,Apple Laptop,6,"Contain hospital during realize them. Movement population water of. Hour project choose firm son property car.
Health improve bag. Course nor north involve mission feeling old. Yet ask too foot.",179.44,0.54,738,0.7,36,2024-08-08 07:20:55,"https://example.com/image_2f84d62f-974a-47c5-8974-4447b7a5ae38.jpg,https://example.com/image_fdb11e96-ea8c-40d9-87e9-98eb953f6c1e.jpg"
41,3,Lego Blender,6,"Read game draw cup long story upon. Record participant policy where economic message fall.
Best occur often six bar wait thank.
Popular production among house like. Theory chair attention.",193.25,0.11,7,3.3,9,2024-01-07 03:16:53,https://example.com/image_695bfc2e-c606-451b-9a99-d6a1a27e7487.jpg
42,3,Puma Soccer Ball,7,"Describe that case vote miss.
Effect one unit after. Change pressure thus watch born who knowledge.
Everything tonight organization structure more suddenly.",471.82,0.62,111,2.6,43,2024-05-18 20:35:47,"https://example.com/image_35806aa0-5358-4b20-8ab4-60a8ee4a8dcb.jpg,https://example.com/image_68645d68-8736-47b1-9227-288ad5e494aa.jpg"
43,3,Sony Car Battery,4,Natural too future. Relate only major too next with. Real debate production less politics become. Yeah begin Mrs tough.,799.46,0.6,17,2.1,30,2024-01-20 16:27:48,"https://example.com/image_1ab8a817-2c36-498b-be98-552bdd13b0b2.jpg,https://example.com/image_2c6ae25d-0425-44fd-81d1-d260855b5af6.jpg"
44,4,Puma Smartphone,9,"Anyone toward air month. Similar four build brother. Others her thus could mission manage.
Inside word save tend election sport worker subject. Magazine under always miss force mother.",272.84,0.36,164,3.5,22,2024-07-29 07:49:47,"https://example.com/image_8d991e9b-abc8-4e51-b940-326ce0f56bc6.jpg,https://example.com/image_f661321a-a4d1-45bf-b735-6fdd66c4c10f.jpg"
45,4,Bosch Soccer Ball,10,"Mission left wife today south age. Bank huge matter.
Father including marriage fine field democratic. Maybe region open rock book government expect book. North send situation half sit.",272.07,0.31,276,2.2,43,2024-02-18 02:19:47,https://example.com/image_b6499e2b-9a7d-43fc-b199-31a40041a3e3.jpg
46,4,Lego Laptop,7,"Style whether picture generation. Certain save shoulder hold person.
Control guy hope world. Law social meeting example program by industry.",604.03,0.54,945,4.4,24,2024-06-25 18:11:46,"https://example.com/image_48ffb80f-1720-492b-97f0-71fe7fd90581.jpg,https://example.com/image_1f382e31-5588-47bd-aff3-96b01c9daa67.jpg,https://example.com/image_04633026-ddae-484a-a18c-b3a5c26152f1.jpg"
47,4,Samsung Soccer Ball,8,Method discussion mind eight pull serious according all. Effort arm system interest less easy produce. My begin any out.,900.77,0.16,522,0.1,34,2024-07-16 18:48:46,"https://example.com/image_b8280384-c774-4fba-9c5a-c0ff74d927ce.jpg,https://example.com/image_e6e40ca7-2e42-45d7-92f3-a7525b3a90ab.jpg,https://example.com/image_87a9137d-adb7-4a98-b2bc-0ae9355ac06d.jpg"
48,4,Bosch Smartphone,6,Voice little describe senior bill house article bank. Beautiful easy do break. Determine kitchen black put notice.,485.6,0.6,468,4.3,1,2024-09-09 02:42:49,"https://example.com/image_9a42c685-e537-4f58-a33b-0c7e87923219.jpg,https://example.com/image_dda034b6-f963-4b4d-99a1-19a39edbf4b3.jpg"
49,4,Samsung Car Battery,9,"Play politics strategy. Finally floor admit then per. Civil door according increase information.
Accept discussion quickly rest former popular. Per mean Congress clear without always claim.",511.43,0.71,667,1.0,29,2024-09-16 17:03:19,"https://example.com/image_2549f814-70e3-42e9-9226-08ec703fbf8c.jpg,https://example.com/image_0d9ac439-923a-4a97-ab38-64e9d5275a55.jpg,https://example.com/image_24b40e78-61a4-46a8-8a94-982419186724.jpg,https://example.com/image_32f327af-a847-431d-a3a5-fd7fd7034569.jpg,https://example.com/image_82b5fa27-5e69-421e-afc7-1fd89ccfbe00.jpg"
50,4,Samsung Smartphone,5,"Painting song attention child maintain movie. Only history red piece field more before.
Author hour board. So help simply far day start member. Light author exist term store why late natural.",465.25,0.99,979,2.9,28,2024-02-13 13:45:13,https://example.com/image_431f8791-face-4cfe-a879-6298ea5bfd9a.jpg
51,4,Adidas Vacuum Cleaner,3,Industry prevent unit bring for. Find reflect politics I effect leg conference.,167.92,0.88,441,2.3,22,2024-06-01 13:38:55,https://example.com/image_3dbe8d67-da17-458f-a7fd-ea77531590eb.jpg
52,4,Puma Smartphone,6,Push people bed husband write election. Raise full break price thousand traditional laugh. Because sound meeting drive need.,502.93,0.06,876,0.2,47,2024-09-30 14:20:20,"https://example.com/image_f28c7edb-7f70-42a1-911a-8a4752a3aa8c.jpg,https://example.com/image_41389a1a-ecd0-45c7-827a-8836e8107184.jpg,https://example.com/image_3315e8ff-6e1e-4ed1-9f88-5486b0857718.jpg"
53,4,Apple Laptop,6,Answer boy best outside local north. Policy watch style start go sign.,708.52,0.46,482,2.3,7,2024-07-16 23:09:30,https://example.com/image_6fff283e-0317-4379-b2b8-5747a1974d0a.jpg
54,4,Adidas Smartphone,3,"Person rate see. Movement soon meet.
Better measure also training record. Imagine partner source.
Certainly American man will scientist. That yet rise author husband.",385.65,0.91,255,0.8,27,2024-04-13 07:45:33,"https://example.com/image_842348b6-adc5-4d0a-af8f-676ae7cb1a49.jpg,https://example.com/image_ac1a8008-a5c2-4bf0-a8c3-ade3a73c1a31.jpg,https://example.com/image_5fac266a-8d53-45aa-ba4c-53917bc25ce4.jpg,https://example.com/image_e8d17cf9-533c-4daa-bfc5-dd5e6a6a2220.jpg,https://example.com/image_e279cb03-0743-47cb-aef1-c27f9e6d261c.jpg"
55,4,Samsung Shampoo,9,"Fear girl individual store or lay white.
Exactly lose certain benefit five door. Computer laugh indeed property nature million material.",190.09,0.25,519,0.5,43,2024-08-17 06:27:39,"https://example.com/image_10772d80-a486-4adb-8e7f-61b21b28b19f.jpg,https://example.com/image_cd187386-933d-48c9-a356-ce5541385542.jpg,https://example.com/image_8017e9c9-c576-4695-8fda-18e896b7e5cd.jpg"
56,5,Philips Camera,3,"Plan item mean nature. Once worker partner agree one difference.
Exactly protect bad your painting.
Court no air field we morning. Strong coach maintain measure. Phone chance hope.",201.87,0.07,813,2.4,3,2024-04-29 14:38:07,"https://example.com/image_4deac7dc-edf4-4772-bbab-0434371f390a.jpg,https://example.com/image_b6b1c0f4-1676-469b-9779-be130ab67e6c.jpg,https://example.com/image_2abd2967-5b3a-4098-b596-fb84d23c9ed2.jpg"
57,5,Adidas Headphones,3,"Professor present nearly. Land better safe meet lose response.
Should doctor authority candidate economy. Network fill beat involve open dream leg. Budget theory buy him especially name agent.",760.31,0.99,18,3.9,41,2024-06-04 03:59:20,"https://example.com/image_9ee13fd5-504d-4c1b-93f8-ae870bf63546.jpg,https://example.com/image_c646e972-0c1a-4d75-b8ca-c9554d9c1d87.jpg,https://example.com/image_f8b5bf8b-ded7-4096-87bd-48ef84a48bd1.jpg"
58,5,Bosch Vacuum Cleaner,4,"Teach indeed dinner.
Not modern news performance stay direction.
These spend statement hit. Expect agreement science occur. Subject respond myself represent line check responsibility.",944.51,0.13,930,4.7,10,2024-09-11 00:44:02,"https://example.com/image_3a93fb86-675d-4d92-aa84-2f33f7edbbfa.jpg,https://example.com/image_daf8a8c4-030b-478d-9194-a0d07a7b432b.jpg,https://example.com/image_924a30f7-2c26-49ac-94e4-334e63cbf751.jpg,https://example.com/image_86b3f5c5-3428-4e87-94b5-0269d5ebf4d5.jpg"
59,5,Apple Car Battery,1,"Tax establish medical build then recent. Several everyone although at.
Chair force notice daughter mouth again. Cold affect control foreign.",590.36,0.53,700,4.9,40,2024-08-14 12:28:09,"https://example.com/image_dd14c543-696c-4005-847f-7bd4a20ffe24.jpg,https://example.com/image_ae240935-1a19-45d3-bf7e-5a0c0cca8cf5.jpg,https://example.com/image_9e5800b8-8b2e-4509-9b86-c40e81260c27.jpg,https://example.com/image_c1dd054f-7cd3-4e46-98e0-1d583db1e6eb.jpg"
60,5,Lego Shampoo,6,"House strategy ten unit individual sea success. Yes technology area seem whatever brother us.
Few force operation more you check store.",335.54,0.87,321,4.0,21,2024-04-15 12:44:23,"https://example.com/image_8b497dc5-c454-4bca-b53e-cd54021ed7ab.jpg,https://example.com/image_327cf0a2-3c07-4f24-9a09-3cd5a57399fc.jpg,https://example.com/image_3a365ef6-630a-4717-88b2-98e5d55bfff4.jpg"
61,5,Canon Laptop,2,"Perhaps pull cause able my consumer arm. Cost hot full least money.
Investment low free late. Happy development customer day painting break.",411.44,0.42,42,1.1,36,2024-04-29 00:01:54,"https://example.com/image_7edf5457-0a21-48f7-82c9-12135775a5de.jpg,https://example.com/image_2df7f450-e624-44ca-a873-4bce5e5a6e44.jpg"
62,5,Adidas Soccer Ball,6,Respond risk should ready. Sometimes probably build candidate author. Stage hit pass matter. Particular resource onto small perform leg.,430.95,0.64,9,3.9,42,2024-01-08 03:30:42,"https://example.com/image_15ec8bb8-507a-4b62-9f76-24bb81bf8c87.jpg,https://example.com/image_bc3e34e8-9928-404d-a6cc-7daf2183bb01.jpg,https://example.com/image_ceba226a-d986-48d3-af0e-1c9bc5a69d14.jpg,https://example.com/image_3573b7e9-7c27-489c-b096-d5ead7011939.jpg,https://example.com/image_f209ede5-31d2-497a-84f1-03fecc0f837c.jpg"
63,5,Apple Laptop,10,Drop authority page today short thank hotel. Chance three tell door recognize market themselves. Wall follow thing charge.,440.26,0.14,917,1.2,41,2024-09-12 07:00:21,"https://example.com/image_c4141756-ebcd-4427-94ac-248fc018e454.jpg,https://example.com/image_106d3ee3-767c-4450-806b-1f338239b1e3.jpg,https://example.com/image_e91541be-2034-4812-ada1-5b5be7757e41.jpg,https://example.com/image_7aac5b90-8d65-4645-9e34-f2cddf8e3473.jpg,https://example.com/image_de575635-c879-43ec-a0ea-ceada962007f.jpg"
64,5,Bosch Camera,3,"Key wait defense sometimes. Even fine range ago.
Truth yeah serious consider standard opportunity.
Speak ever stay get list. Sea wife door. Manage great at great since environment time walk.",787.86,0.1,85,4.3,37,2024-01-29 07:53:54,"https://example.com/image_c8fd54e0-5d8d-40da-8e9c-66d2e55e2d59.jpg,https://example.com/image_f997d6e6-68b2-42f8-bde0-66f7562b5254.jpg"
